signal_date,candidate_count,daily_universe_mean_capped_return,rank1_event_id,rank1_capped_return,rank2_event_id,rank2_capped_return,rank3_event_id,rank3_capped_return,top1_capped_return,top1_excess_vs_universe,top1_beat_universe,top2_capped_return,top2_excess_vs_universe,top2_beat_universe,top3_capped_return,top3_excess_vs_universe,top3_beat_universe,daily_base_tail_incidence,highest_risk_rank1_event_id,highest_risk_rank1_tail,highest_risk_rank1_capped_return,safest_rank1_event_id,safest_rank1_tail,safest_rank1_capped_return
2026-06-11,10,0.028416248118709197,002636_2026-06-11,0.07,605318_2026-06-11,0.0456747404844291,603065_2026-06-11,0.028676470588235414,0.07,0.041583751881290806,1,0.05783737024221455,0.029421122123505356,1,0.04811707035755484,0.01970082223884564,1,0.1,002669_2026-06-11,0,-0.001204819277108582,605318_2026-06-11,0,0.0456747404844291
2026-06-12,8,0.040231451733937953,000048_2026-06-12,-0.021505376344086113,002119_2026-06-12,0.05435801312089983,600665_2026-06-12,0.01298701298701288,-0.021505376344086113,-0.06173682807802407,0,0.016426318388406858,-0.023805133345531096,0,0.015279883254608865,-0.02495156847932909,0,0.0,000048_2026-06-12,0,-0.021505376344086113,600665_2026-06-12,0,0.01298701298701288
2026-06-15,3,0.044940476190476274,002203_2026-06-15,0.036250000000000115,600067_2026-06-15,0.028571428571428692,603014_2026-06-15,0.07,0.036250000000000115,-0.008690476190476158,0,0.032410714285714404,-0.01252976190476187,0,0.044940476190476274,0.0,0,0.0,603014_2026-06-15,0,0.07,002203_2026-06-15,0,0.036250000000000115
2026-06-16,7,0.0313373111971878,000510_2026-06-16,-0.014531043593130843,601958_2026-06-16,0.04392857142857154,001359_2026-06-16,0.07,-0.014531043593130843,-0.045868354790318644,0,0.014698763917720348,-0.016638547279467453,0,0.033132509278480236,0.001795198081292436,1,0.0,603335_2026-06-16,0,0.07,601696_2026-06-16,0,-0.01872659176029967
2026-06-17,17,0.0600758531774936,605198_2026-06-17,-0.02127659574468077,002824_2026-06-17,0.07,600549_2026-06-17,0.07,-0.02127659574468077,-0.08135244892217437,0,0.024361702127659618,-0.035714151049833984,0,0.039574468085106417,-0.020501385092387185,0,0.058823529411764705,002051_2026-06-17,0,0.07,605198_2026-06-17,1,-0.02127659574468077
2026-06-18,15,0.017311011105823247,603186_2026-06-18,0.045483180042837246,002741_2026-06-18,-0.020413122721749555,600110_2026-06-18,-0.04445727482678985,0.045483180042837246,0.028172168937014,1,0.012535028660543845,-0.004775982445279402,0,-0.006462405835234053,-0.0237734169410573,0,0.4666666666666667,603115_2026-06-18,0,0.03229456824512544,002484_2026-06-18,1,-0.05016599040944303
2026-06-22,7,0.046540992262907054,603261_2026-06-22,0.07,002989_2026-06-22,0.021419009370816422,002491_2026-06-22,0.07,0.07,0.023459007737092953,1,0.045709504685408214,-0.0008314875774988392,0,0.05380633645693881,0.007265344194031756,1,0.14285714285714285,002141_2026-06-22,0,0.07,603261_2026-06-22,0,0.07
2026-06-23,14,0.05068555323433526,000811_2026-06-23,0.07,002297_2026-06-23,0.07,603663_2026-06-23,0.02941176470588225,0.07,0.019314446765664746,1,0.07,0.019314446765664746,1,0.056470588235294085,0.005785035000958824,1,0.07142857142857142,002354_2026-06-23,0,0.04384896467722288,603082_2026-06-23,0,0.020895522388059806
2026-06-24,15,0.021949161370582483,002068_2026-06-24,0.06471389645776582,603757_2026-06-24,0.05169806132270027,605580_2026-06-24,-0.006040268456375841,0.06471389645776582,0.042764735087183335,1,0.058205978890233045,0.03625681751965056,1,0.03679056310803008,0.0148414017374476,1,0.4,600851_2026-06-24,1,-0.03681592039801007,603757_2026-06-24,0,0.05169806132270027
2026-06-25,9,0.024497753192807656,600909_2026-06-25,0.07,000566_2026-06-25,-0.00219780219780219,605069_2026-06-25,0.07,0.07,0.04550224680719235,1,0.03390109890109891,0.009403345708291252,1,0.04593406593406594,0.021436312741258283,1,0.3333333333333333,603938_2026-06-25,0,0.07,600909_2026-06-25,0,0.07
2026-06-26,12,0.016013751663266792,603989_2026-06-26,-0.04196428571428579,002990_2026-06-26,0.07,600667_2026-06-26,0.06681034482758608,-0.04196428571428579,-0.05797803737755258,0,0.01401785714285711,-0.001995894520409682,0,0.03161535303776677,0.015601601374499976,1,0.4166666666666667,002254_2026-06-26,1,-0.025974025974025983,002990_2026-06-26,0,0.07
2026-06-29,5,0.03005811481218995,600228_2026-06-29,-0.07931726907630532,000823_2026-06-29,0.07,600962_2026-06-29,0.07,-0.07931726907630532,-0.10937538388849527,0,-0.004658634538152656,-0.03471674935034261,0,0.020227576974564898,-0.009830537837625053,0,0.2,002141_2026-06-29,0,0.019607843137255054,600962_2026-06-29,0,0.07
2026-06-30,7,0.018284747767554867,603650_2026-06-30,0.0474406991260925,601133_2026-06-30,-0.0627906976744187,603163_2026-06-30,-0.028716216216216228,0.0474406991260925,0.029155951358537633,1,-0.007674999274163097,-0.025959747041717964,0,-0.014688738254847475,-0.03297348602240234,0,0.2857142857142857,603956_2026-06-30,0,0.03953871499176276,603155_2026-06-30,0,0.07
