event_id,signal_date,code,board_group,candidate_count,stage1_score,stage1_logit,stage1_rank,stage1_rank_percentile,target7,loss,nonloss,raw_repair_return,capped_return_7,rank_d1_close_ma10_pct,rank_d1_low_ma10_pct,rank_trend_hold_score,rank_total_score,rank_theme_score,rank_days_since_d0,rank_log_candidate_base_price,rank_active_money_score,rank_d1_close_vwap_pct,inter_close_low,inter_close_trend,inter_total_trend,inter_total_active,inter_low_active,spread_close_low,days_since_d0_le1,days_since_d0_eq2,days_since_d0_ge3,contrib__rank_d1_close_ma10_pct,contrib__rank_d1_low_ma10_pct,contrib__rank_trend_hold_score,contrib__rank_total_score,contrib__rank_theme_score,contrib__rank_days_since_d0,contrib__rank_log_candidate_base_price,contrib__rank_active_money_score,contrib__rank_d1_close_vwap_pct,contrib__inter_close_low,contrib__inter_close_trend,contrib__inter_total_trend,contrib__inter_total_active,contrib__inter_low_active,contrib__spread_close_low,contrib__days_since_d0_le1,contrib__days_since_d0_eq2,contrib__days_since_d0_ge3
601958_2026-06-16,2026-06-16,601958,BOARD3,7,0.592319763519,0.373563497132,1,0,0,0,1,0.0439285714286,0.0439285714286,0.857142857143,0.857142857143,0.642857142857,0.357142857143,0.714285714286,0.571428571429,0.714285714286,1,0.714285714286,0.734693877551,0.551020408163,0.229591836735,0.357142857143,0.857142857143,0,1,0,0,0.0502671547387,0.0497246697192,0.0138382070979,-0.00542509891745,0.0374364058352,0.0108927721555,0.0308603810293,0.0788886922613,0.0348301026791,0.0526455371499,0.0256726022314,0.00269293839006,0.0173205332241,0.0701610499888,0,0.114768699749,0,-0
001359_2026-06-16,2026-06-16,001359,BOARD2,7,0.584076635077,0.339531174309,2,0.166666666667,1,0,1,0.120841364284,0.07,0.714285714286,1,0.642857142857,0.571428571429,0.714285714286,0.571428571429,1,0.714285714286,0.571428571429,0.714285714286,0.459183673469,0.367346938776,0.408163265306,0.714285714286,-0.285714285714,1,0,0,0.0418892956156,0.0580121146724,0.0138382070979,-0.00868015826792,0.0374364058352,0.0108927721555,0.043204533441,0.056349065901,0.0278640821433,0.0511831611179,0.0213938351928,0.0043087014241,0.0197948951133,0.0584675416573,-0.000180828339824,0.114768699749,0,-0
000510_2026-06-16,2026-06-16,000510,BOARD3,7,0.572216002721,0.290898158298,3,0.333333333333,0,1,0,-0.0145310435931,-0.0145310435931,1,0.714285714286,0.642857142857,0.857142857143,0.714285714286,0.571428571429,0.571428571429,0.428571428571,1,0.714285714286,0.642857142857,0.551020408163,0.367346938776,0.30612244898,0.285714285714,1,0,0,0.0586450138618,0.041437224766,0.0138382070979,-0.0130202374019,0.0374364058352,0.0108927721555,0.0246883048234,0.0338094395406,0.0487621437508,0.0511831611179,0.02995136927,0.00646305213616,0.0178154056019,0.0250575178531,0.000180828339824,0.114768699749,0,-0
601696_2026-06-16,2026-06-16,601696,BOARD2,7,0.547238939001,0.189520997068,4,0.5,0,1,0,-0.0187265917603,-0.0187265917603,0.571428571429,0.428571428571,0.642857142857,0.142857142857,0.214285714286,0.571428571429,0.285714285714,0.857142857143,0.857142857143,0.244897959184,0.367346938776,0.0918367346939,0.122448979592,0.367346938776,0.142857142857,1,0,0,0.0335114364925,0.0248623348596,0.0138382070979,-0.00217003956698,0.0112309217506,0.0108927721555,0.0123441524117,0.0676188790812,0.041796123215,0.0175485123833,0.0171150681543,0.00107717535603,0.00593846853398,0.0300690214238,9.0414169912e-05,0.114768699749,0,-0
603738_2026-06-16,2026-06-16,603738,BOARD2,7,0.543805034004,0.175670514095,5,0.666666666667,1,0,1,0.129815592478,0.07,0.428571428571,0.571428571429,0.642857142857,0.714285714286,0.714285714286,0.571428571429,0.857142857143,0.428571428571,0.428571428571,0.244897959184,0.275510204082,0.459183673469,0.30612244898,0.244897959184,-0.142857142857,1,0,0,0.0251335773693,0.0331497798128,0.0138382070979,-0.0108501978349,0.0374364058352,0.0108927721555,0.0370324572351,0.0338094395406,0.0208980616075,0.0175485123833,0.0128363011157,0.00538587678013,0.0148461713349,0.0200460142825,-9.0414169912e-05,0.114768699749,0,-0
603335_2026-06-16,2026-06-16,603335,BOARD2,7,0.520929691444,0.0837677148113,6,0.833333333333,1,0,1,0.111922141119,0.07,0.285714285714,0.285714285714,0.642857142857,1,0.714285714286,0.571428571429,0.142857142857,0.428571428571,0.142857142857,0.0816326530612,0.183673469388,0.642857142857,0.428571428571,0.122448979592,0,1,0,0,0.0167557182462,0.0165748899064,0.0138382070979,-0.0151902769689,0.0374364058352,0.0108927721555,0.00617207620586,0.0338094395406,0.00696602053583,0.00584950412777,0.00855753407714,0.00754022749218,0.0207846398689,0.0100230071413,0,0.114768699749,0,-0
000506_2026-06-16,2026-06-16,000506,BOARD2,7,0.49776781373,-0.00892880439911,7,1,0,1,0,-0.00130975769483,-0.00130975769483,0.142857142857,0.142857142857,0.142857142857,0.357142857143,0.214285714286,0.571428571429,0.428571428571,0.142857142857,0.285714285714,0.0204081632653,0.0204081632653,0.0510204081633,0.0510204081633,0.0204081632653,0,1,0,0,0.00837785912311,0.0082874449532,0.00307515713288,-0.00542509891745,0.0112309217506,0.0108927721555,0.0185162286176,0.0112698131802,0.0139320410717,0.00146237603194,0.000950837119682,0.000598430753348,0.00247436188916,0.00167050119021,0,0.114768699749,0,-0
605198_2026-06-17,2026-06-17,605198,BOARD3,17,0.595347963081,0.386118516802,1,0,0,1,0,-0.0212765957447,-0.0212765957447,1,1,0.588235294118,0.294117647059,0.147058823529,0.470588235294,0.764705882353,0.970588235294,0.941176470588,1,0.588235294118,0.173010380623,0.285467128028,0.970588235294,0,1,0,0,0.0538445560341,0.0548034640039,0.0139763339306,-0.00259619115019,0.00792271668568,0.00863524096555,0.0364698936822,0.0709170026625,0.0460862076915,0.0651451142119,0.0263239203661,0.0028517870101,0.0133704111616,0.0735394077496,-0,0.112647119017,0,-0
603256_2026-06-17,2026-06-17,603256,BOARD2,17,0.590493733946,0.366006819248,2,0.0625,1,0,1,0.12002451982,0.07,0.823529411765,0.941176470588,0.823529411765,0.764705882353,0.647058823529,0.470588235294,1,0.823529411765,0.235294117647,0.77508650519,0.678200692042,0.629757785467,0.629757785467,0.77508650519,-0.117647058824,1,0,0,0.0443425755575,0.0515797308272,0.0195668675029,-0.0067500969905,0.034859953417,0.00863524096555,0.0476913994306,0.0601720022591,0.0115215519229,0.0504930989047,0.0303499317163,0.0103805047168,0.0294959373505,0.058726657169,0.000112812702332,0.112647119017,0,-0
002515_2026-06-17,2026-06-17,002515,BOARD2,17,0.580208362088,0.323628796037,3,0.125,1,0,1,0.165371809101,0.07,0.941176470588,0.882352941176,0.823529411765,0.235294117647,0.147058823529,0.470588235294,0.117647058824,0.970588235294,0.647058823529,0.83044982699,0.77508650519,0.193771626298,0.228373702422,0.856401384083,0.0588235294118,1,0,0,0.0506772292086,0.0483559976505,0.0195668675029,-0.00207695292015,0.00792271668568,0.00863524096555,0.00561075287418,0.0709170026625,0.0316842677879,0.0540997488265,0.0346856362471,0.00319400145131,0.0106963289293,0.0648877127202,-5.64063511661e-05,0.112647119017,0,-0
