feature,section,metric,estimate,p2.5,p50,p97.5,direction_probability,p_value,q_value,valid_resamples
inter_close_trend,PERMUTATION,DELTA_NONLOSS_AUC,-0.251070437547,,,,,0.0391,0.1173,9999
inter_close_trend,PERMUTATION,DELTA_TARGET7_AUC,-0.000616631430585,,,,,0.50404959504,,10000
inter_total_trend,PERMUTATION,DELTA_NONLOSS_AUC,0.0353749747322,,,,,0.6797,0.81564,9999
inter_total_trend,PERMUTATION,DELTA_TARGET7_AUC,0.0684240662438,,,,,0.706429357064,,10000
inter_total_active,PERMUTATION,DELTA_NONLOSS_AUC,-0.114853814065,,,,,0.0749,0.168525,9999
inter_total_active,PERMUTATION,DELTA_TARGET7_AUC,0.0828708597604,,,,,0.670632936706,,10000
inter_low_active,PERMUTATION,DELTA_NONLOSS_AUC,-0.369810904681,,,,,0.0032,0.0288,9999
inter_low_active,PERMUTATION,DELTA_TARGET7_AUC,-0.102764564247,,,,,0.216278372163,,10000
spread_close_low,PERMUTATION,DELTA_NONLOSS_AUC,-0.12672969844,,,,,0.1423,0.25614,9999
spread_close_low,PERMUTATION,DELTA_TARGET7_AUC,0.0373502466526,,,,,0.563243675632,,10000
days_since_d0_le1,PERMUTATION,DELTA_NONLOSS_AUC,-0.336558428432,,,,,0.0177,0.07965,9999
days_since_d0_le1,PERMUTATION,DELTA_TARGET7_AUC,-0.15241073526,,,,,0.205879412059,,10000
days_since_d0_eq2,PERMUTATION,DELTA_NONLOSS_AUC,0.0151515151515,,,,,0.7895,0.887823529412,9999
days_since_d0_eq2,PERMUTATION,DELTA_TARGET7_AUC,0.00581395348837,,,,,0.278772122788,,10000
days_since_d0_ge3,PERMUTATION,DELTA_NONLOSS_AUC,-0.06272855909,,,,,0.2302,0.376690909091,9999
days_since_d0_ge3,PERMUTATION,DELTA_TARGET7_AUC,-0.0208700375852,,,,,0.798520147985,,10000
