factor,target,universe,quantile,count,factor_min,factor_max,factor_mean,target_mean,target_median,target_p25,target_p75,target7_rate,target10_rate,loss_rate,opportunity7_rate,primary_close_mean,opportunity_max_mean
days_since_d0,all_opportunity_d3_max,all_candidates,4,107,2.0,2.0,2.0,4.3527,2.974,1.0075,6.004,0.2336,0.1402,0.0,0.2336,-2.4817,4.3527
days_since_d0,all_opportunity_d3_max,all_candidates,5,108,2.0,4.0,2.7315,2.5485,1.6576,0.1512,3.8752,0.1204,0.0463,0.0,0.1204,-3.254,2.5485
days_since_d0,all_primary_d3_close,all_candidates,1,108,0.0,0.0,0.0,1.0233,0.5817,-5.7579,6.5858,0.2315,0.1667,0.3333,0.5278,1.0233,8.0718
days_since_d0,all_primary_d3_close,all_candidates,2,107,0.0,1.0,0.4766,-1.8677,-2.7778,-7.4537,3.403,0.1215,0.0467,0.486,0.3551,-1.8677,4.9694
days_since_d0,all_primary_d3_close,all_candidates,3,108,1.0,2.0,1.1481,-2.6187,-3.8403,-7.0529,1.251,0.0833,0.0278,0.5556,0.2315,-2.6187,3.608
days_since_d0,all_primary_d3_close,all_candidates,4,107,2.0,2.0,2.0,-2.4817,-4.1577,-6.766,1.3514,0.0935,0.0748,0.5794,0.2336,-2.4817,4.3527
days_since_d0,all_primary_d3_close,all_candidates,5,108,2.0,4.0,2.7315,-3.254,-3.8596,-5.941,-1.4966,0.0463,0.0278,0.6204,0.1204,-3.254,2.5485
days_since_d0,executed_realized_d3,executed_only,1,14,1.0,1.0,1.0,-2.3955,-2.8035,-5.6929,1.7342,0.2143,0.0,0.5,0.2143,-4.1279,4.1251
days_since_d0,executed_realized_d3,executed_only,2,13,1.0,1.0,1.0,-0.1002,1.1843,-3.9813,2.167,0.2308,0.0,0.3846,0.2308,-1.0734,3.1118
days_since_d0,executed_realized_d3,executed_only,3,13,1.0,2.0,1.9231,0.8558,1.6706,-2.6892,7.0,0.3846,0.0,0.2308,0.3846,-1.2902,5.2134
days_since_d0,executed_realized_d3,executed_only,4,13,2.0,3.0,2.1538,-3.8016,-4.195,-5.3042,-2.4041,0.0,0.0,0.5385,0.0,-4.859,0.7894
days_since_d0,executed_realized_d3,executed_only,5,13,3.0,3.0,3.0,-1.6778,-1.3393,-4.5533,1.4969,0.0,0.0,0.3077,0.0,-3.4979,1.3499
graph_quality_score,all_opportunity_d3_max,all_candidates,1,108,0.0,50.0,29.7593,2.8049,1.6262,0.3903,4.2497,0.1296,0.0463,0.0093,0.1296,-4.3697,2.8049
graph_quality_score,all_opportunity_d3_max,all_candidates,2,107,50.0,70.0,58.3551,4.8891,3.7773,1.1135,7.0664,0.2523,0.1589,0.0,0.2523,-2.2578,4.8891
