event_id,signal_date,code,board,model_score,model_rank,target7,raw_repair_return,capped_opportunity_return_7,daily_universe_capped_return,daily_universe_target7_rate,train_start,train_end,train_dates
603002_2026-06-11,2026-06-11,603002,2,0.527254387246,9,0,0.0673719376392,0.0673719376392,0.0284162481187,0.2,2026-05-06,2026-06-10,26
002669_2026-06-11,2026-06-11,002669,2,0.52322400961,10,0,-0.00120481927711,-0.00120481927711,0.0284162481187,0.2,2026-05-06,2026-06-10,26
002119_2026-06-12,2026-06-12,002119,2,0.588067577805,1,0,0.0543580131209,0.0543580131209,0.0402314517339,0.5,2026-05-06,2026-06-11,27
000048_2026-06-12,2026-06-12,000048,3,0.567836450945,2,0,-0.0215053763441,-0.0215053763441,0.0402314517339,0.5,2026-05-06,2026-06-11,27
002409_2026-06-12,2026-06-12,002409,2,0.56544213603,3,1,0.0771077107711,0.07,0.0402314517339,0.5,2026-05-06,2026-06-11,27
600378_2026-06-12,2026-06-12,600378,2,0.549637702913,4,1,0.0784588441331,0.07,0.0402314517339,0.5,2026-05-06,2026-06-11,27
002165_2026-06-12,2026-06-12,002165,2,0.54002229513,5,1,0.0732356857523,0.07,0.0402314517339,0.5,2026-05-06,2026-06-11,27
600665_2026-06-12,2026-06-12,600665,2,0.533900544134,6,0,0.012987012987,0.012987012987,0.0402314517339,0.5,2026-05-06,2026-06-11,27
603155_2026-06-12,2026-06-12,603155,2,0.523644152618,7,1,0.087962962963,0.07,0.0402314517339,0.5,2026-05-06,2026-06-11,27
600178_2026-06-12,2026-06-12,600178,2,0.514674820484,8,0,-0.00398803589232,-0.00398803589232,0.0402314517339,0.5,2026-05-06,2026-06-11,27
002203_2026-06-15,2026-06-15,002203,2,0.551771532523,1,0,0.03625,0.03625,0.0449404761905,0.333333333333,2026-05-06,2026-06-12,28
600067_2026-06-15,2026-06-15,600067,2,0.51804962166,2,0,0.0285714285714,0.0285714285714,0.0449404761905,0.333333333333,2026-05-06,2026-06-12,28
603014_2026-06-15,2026-06-15,603014,2,0.4702966319,3,1,0.111851637207,0.07,0.0449404761905,0.333333333333,2026-05-06,2026-06-12,28
601958_2026-06-16,2026-06-16,601958,3,0.586498808578,1,0,0.0439285714286,0.0439285714286,0.0313373111972,0.428571428571,2026-05-06,2026-06-15,29
001359_2026-06-16,2026-06-16,001359,2,0.582950918582,2,1,0.120841364284,0.07,0.0313373111972,0.428571428571,2026-05-06,2026-06-15,29
000510_2026-06-16,2026-06-16,000510,3,0.570419244903,3,0,-0.0145310435931,-0.0145310435931,0.0313373111972,0.428571428571,2026-05-06,2026-06-15,29
603738_2026-06-16,2026-06-16,603738,2,0.552230803584,4,1,0.129815592478,0.07,0.0313373111972,0.428571428571,2026-05-06,2026-06-15,29
601696_2026-06-16,2026-06-16,601696,2,0.549260829238,5,0,-0.0187265917603,-0.0187265917603,0.0313373111972,0.428571428571,2026-05-06,2026-06-15,29
603335_2026-06-16,2026-06-16,603335,2,0.530453140418,6,1,0.111922141119,0.07,0.0313373111972,0.428571428571,2026-05-06,2026-06-15,29
000506_2026-06-16,2026-06-16,000506,2,0.514713490714,7,0,-0.00130975769483,-0.00130975769483,0.0313373111972,0.428571428571,2026-05-06,2026-06-15,29
603256_2026-06-17,2026-06-17,603256,2,0.593073862637,1,1,0.12002451982,0.07,0.0600758531775,0.705882352941,2026-05-06,2026-06-16,30
605198_2026-06-17,2026-06-17,605198,3,0.590090225555,2,0,-0.0212765957447,-0.0212765957447,0.0600758531775,0.705882352941,2026-05-06,2026-06-16,30
600549_2026-06-17,2026-06-17,600549,2,0.578139699328,3,1,0.209677419355,0.07,0.0600758531775,0.705882352941,2026-05-06,2026-06-16,30
002824_2026-06-17,2026-06-17,002824,2,0.578036803348,4,1,0.144943820225,0.07,0.0600758531775,0.705882352941,2026-05-06,2026-06-16,30
002515_2026-06-17,2026-06-17,002515,2,0.573912179844,5,1,0.165371809101,0.07,0.0600758531775,0.705882352941,2026-05-06,2026-06-16,30
605289_2026-06-17,2026-06-17,605289,2,0.573353681318,6,0,0.065543071161,0.065543071161,0.0600758531775,0.705882352941,2026-05-06,2026-06-16,30
002851_2026-06-17,2026-06-17,002851,2,0.566612674118,7,1,0.0721357850071,0.07,0.0600758531775,0.705882352941,2026-05-06,2026-06-16,30
002552_2026-06-17,2026-06-17,002552,2,0.560817227216,8,1,0.136402877698,0.07,0.0600758531775,0.705882352941,2026-05-06,2026-06-16,30
002585_2026-06-17,2026-06-17,002585,2,0.556908378035,9,0,0.0378634212306,0.0378634212306,0.0600758531775,0.705882352941,2026-05-06,2026-06-16,30
002990_2026-06-17,2026-06-17,002990,2,0.556280258401,10,1,0.0859687386405,0.07,0.0600758531775,0.705882352941,2026-05-06,2026-06-16,30
603516_2026-06-17,2026-06-17,603516,2,0.545834031981,11,1,0.0701068927387,0.07,0.0600758531775,0.705882352941,2026-05-06,2026-06-16,30
601179_2026-06-17,2026-06-17,601179,2,0.537675693626,12,1,0.0707908163265,0.07,0.0600758531775,0.705882352941,2026-05-06,2026-06-16,30
002806_2026-06-17,2026-06-17,002806,2,0.531915436247,13,0,0.0405727923628,0.0405727923628,0.0600758531775,0.705882352941,2026-05-06,2026-06-16,30
600545_2026-06-17,2026-06-17,600545,2,0.523922600721,14,1,0.142857142857,0.07,0.0600758531775,0.705882352941,2026-05-06,2026-06-16,30
603045_2026-06-17,2026-06-17,603045,2,0.521384073304,15,0,0.0585868150077,0.0585868150077,0.0600758531775,0.705882352941,2026-05-06,2026-06-16,30
600703_2026-06-17,2026-06-17,600703,2,0.504123317788,16,1,0.0892151326934,0.07,0.0600758531775,0.705882352941,2026-05-06,2026-06-16,30
002051_2026-06-17,2026-06-17,002051,2,0.500552218524,17,1,0.0827974276527,0.07,0.0600758531775,0.705882352941,2026-05-06,2026-06-16,30
603186_2026-06-18,2026-06-18,603186,3,0.597085596238,1,0,0.0454831800428,0.0454831800428,0.0173110111058,0.133333333333,2026-05-06,2026-06-17,31
002741_2026-06-18,2026-06-18,002741,3,0.59561853857,2,0,-0.0204131227217,-0.0204131227217,0.0173110111058,0.133333333333,2026-05-06,2026-06-17,31
600110_2026-06-18,2026-06-18,600110,3,0.593164230287,3,0,-0.0444572748268,-0.0444572748268,0.0173110111058,0.133333333333,2026-05-06,2026-06-17,31
603002_2026-06-18,2026-06-18,603002,3,0.588881639336,4,1,0.117920540997,0.07,0.0173110111058,0.133333333333,2026-05-06,2026-06-17,31
002080_2026-06-18,2026-06-18,002080,3,0.578674209998,5,0,0.0197681513118,0.0197681513118,0.0173110111058,0.133333333333,2026-05-06,2026-06-17,31
603115_2026-06-18,2026-06-18,603115,3,0.573419752004,6,0,0.0322945682451,0.0322945682451,0.0173110111058,0.133333333333,2026-05-06,2026-06-17,31
600186_2026-06-18,2026-06-18,600186,2,0.570424114954,7,0,0.0350515463918,0.0350515463918,0.0173110111058,0.133333333333,2026-05-06,2026-06-17,31
000679_2026-06-18,2026-06-18,000679,2,0.564486108014,8,0,0.0197889182058,0.0197889182058,0.0173110111058,0.133333333333,2026-05-06,2026-06-17,31
000777_2026-06-18,2026-06-18,000777,3,0.557573912409,9,0,0.0143464399575,0.0143464399575,0.0173110111058,0.133333333333,2026-05-06,2026-06-17,31
603773_2026-06-18,2026-06-18,603773,2,0.554870759874,10,0,0.0675738274464,0.0675738274464,0.0173110111058,0.133333333333,2026-05-06,2026-06-17,31
601636_2026-06-18,2026-06-18,601636,3,0.552485841361,11,0,0.0048309178744,0.0048309178744,0.0173110111058,0.133333333333,2026-05-06,2026-06-17,31
002484_2026-06-18,2026-06-18,002484,2,0.546665144121,12,0,-0.0501659904094,-0.0501659904094,0.0173110111058,0.133333333333,2026-05-06,2026-06-17,31
600192_2026-06-18,2026-06-18,600192,2,0.546026629622,13,0,0.00126742712294,0.00126742712294,0.0173110111058,0.133333333333,2026-05-06,2026-06-17,31
600615_2026-06-18,2026-06-18,600615,2,0.542756786811,14,0,-0.00570342205323,-0.00570342205323,0.0173110111058,0.133333333333,2026-05-06,2026-06-17,31
600707_2026-06-18,2026-06-18,600707,2,0.535341140896,15,1,0.109845402766,0.07,0.0173110111058,0.133333333333,2026-05-06,2026-06-17,31
001339_2026-06-22,2026-06-22,001339,2,0.522756013136,1,0,0.0626988437961,0.0626988437961,0.0465409922629,0.571428571429,2026-05-06,2026-06-18,32
002989_2026-06-22,2026-06-22,002989,3,0.521443317918,2,0,0.0214190093708,0.0214190093708,0.0465409922629,0.571428571429,2026-05-06,2026-06-18,32
002491_2026-06-22,2026-06-22,002491,2,0.519135592692,3,1,0.0711188204683,0.07,0.0465409922629,0.571428571429,2026-05-06,2026-06-18,32
002141_2026-06-22,2026-06-22,002141,3,0.512581322225,4,1,0.0746268656716,0.07,0.0465409922629,0.571428571429,2026-05-06,2026-06-18,32
002579_2026-06-22,2026-06-22,002579,2,0.51115810604,5,0,-0.0383309073265,-0.0383309073265,0.0465409922629,0.571428571429,2026-05-06,2026-06-18,32
603261_2026-06-22,2026-06-22,603261,2,0.503278605406,6,1,0.193737328227,0.07,0.0465409922629,0.571428571429,2026-05-06,2026-06-18,32
603324_2026-06-22,2026-06-22,603324,2,0.489059826098,7,1,0.106767652089,0.07,0.0465409922629,0.571428571429,2026-05-06,2026-06-18,32
603663_2026-06-23,2026-06-23,603663,2,0.583139562055,1,0,0.0294117647059,0.0294117647059,0.0506855532343,0.5,2026-05-06,2026-06-22,33
002297_2026-06-23,2026-06-23,002297,2,0.581390229701,2,1,0.132492113565,0.07,0.0506855532343,0.5,2026-05-06,2026-06-22,33
003031_2026-06-23,2026-06-23,003031,2,0.581356250079,3,0,0.0645161290323,0.0645161290323,0.0506855532343,0.5,2026-05-06,2026-06-22,33
000811_2026-06-23,2026-06-23,000811,3,0.580438468276,4,1,0.219968087531,0.07,0.0506855532343,0.5,2026-05-06,2026-06-22,33
600769_2026-06-23,2026-06-23,600769,2,0.580374629693,5,0,0.00775547445255,0.00775547445255,0.0506855532343,0.5,2026-05-06,2026-06-22,33
603082_2026-06-23,2026-06-23,603082,2,0.576801665574,6,0,0.0208955223881,0.0208955223881,0.0506855532343,0.5,2026-05-06,2026-06-22,33
000657_2026-06-23,2026-06-23,000657,2,0.574683314061,7,1,0.0773082315241,0.07,0.0506855532343,0.5,2026-05-06,2026-06-22,33
002655_2026-06-23,2026-06-23,002655,2,0.574325539307,8,1,0.112807463953,0.07,0.0506855532343,0.5,2026-05-06,2026-06-22,33
002805_2026-06-23,2026-06-23,002805,2,0.568048001818,9,0,0.0302405498282,0.0302405498282,0.0506855532343,0.5,2026-05-06,2026-06-22,33
603380_2026-06-23,2026-06-23,603380,2,0.558228492063,10,1,0.108924806746,0.07,0.0506855532343,0.5,2026-05-06,2026-06-22,33
002842_2026-06-23,2026-06-23,002842,2,0.557124398043,11,1,0.0887335874629,0.07,0.0506855532343,0.5,2026-05-06,2026-06-22,33
001296_2026-06-23,2026-06-23,001296,2,0.543290988346,12,0,0.0229293401965,0.0229293401965,0.0506855532343,0.5,2026-05-06,2026-06-22,33
600162_2026-06-23,2026-06-23,600162,2,0.536369187815,13,1,0.0704960835509,0.07,0.0506855532343,0.5,2026-05-06,2026-06-22,33
002354_2026-06-23,2026-06-23,002354,2,0.535101783122,14,0,0.0438489646772,0.0438489646772,0.0506855532343,0.5,2026-05-06,2026-06-22,33
603757_2026-06-24,2026-06-24,603757,2,0.600677084822,1,0,0.0516980613227,0.0516980613227,0.0219491613706,0.2,2026-05-06,2026-06-23,34
600851_2026-06-24,2026-06-24,600851,3,0.593103281569,2,0,-0.036815920398,-0.036815920398,0.0219491613706,0.2,2026-05-06,2026-06-23,34
000070_2026-06-24,2026-06-24,000070,2,0.590234342349,3,0,-0.0225029609159,-0.0225029609159,0.0219491613706,0.2,2026-05-06,2026-06-23,34
600172_2026-06-24,2026-06-24,600172,2,0.58894277032,4,0,0.0564468211527,0.0564468211527,0.0219491613706,0.2,2026-05-06,2026-06-23,34
