family,feature,section,metric,estimate,p2.5,p50,p97.5,direction_probability,p_value,q_value,valid_resamples
FROZEN_STAGE1_18,rank_d1_close_vwap_pct,BOOTSTRAP,T7_PNT_CLIFF,0.151029748284,-0.211764705882,0.16028708134,0.475372997712,0.8127,,,20000
FROZEN_STAGE1_18,rank_d1_close_vwap_pct,LODO,NONLOSS_SPEARMAN,0.221229689887,,,,1,,,28
FROZEN_STAGE1_18,rank_d1_close_vwap_pct,LODO,PNT_LOSS_AUC,0.542510121457,,,,0.964285714286,,,28
FROZEN_STAGE1_18,rank_d1_close_vwap_pct,LODO,T7_PNT_AUC,0.575514874142,0.55614973262,0.575358851675,0.625,1,,,28
FROZEN_STAGE1_18,rank_d1_close_vwap_pct,PERMUTATION,ABS_RAW_T7_PNT_AUC_DISTANCE,0.0755148741419,,,,,0.466126693665,1,20000
FROZEN_STAGE1_18,rank_d1_low_ma10_pct,BOOTSTRAP,NONLOSS_SPEARMAN,-0.0394770077973,-0.366847728035,-0.0391330877955,0.282241766213,0.41035,,,20000
FROZEN_STAGE1_18,rank_d1_low_ma10_pct,BOOTSTRAP,PNT_LOSS_AUC,0.232793522267,0.0992063492063,0.230769230769,0.43860380117,0.0079,,,20000
FROZEN_STAGE1_18,rank_d1_low_ma10_pct,BOOTSTRAP,T7_LOSS_AUC,0.230769230769,0.0895785984848,0.227506613757,0.407142857143,0.0023,,,20000
FROZEN_STAGE1_18,rank_d1_low_ma10_pct,BOOTSTRAP,T7_PNT_AUC,0.504576659039,0.329491054486,0.506798099675,0.654761904762,0.52925,,,20000
FROZEN_STAGE1_18,rank_d1_low_ma10_pct,BOOTSTRAP,T7_PNT_CLIFF,0.0091533180778,-0.341017891027,0.0135961993493,0.309523809524,0.52925,,,20000
FROZEN_STAGE1_18,rank_d1_low_ma10_pct,LODO,NONLOSS_SPEARMAN,-0.0394770077973,,,,0.0714285714286,,,28
FROZEN_STAGE1_18,rank_d1_low_ma10_pct,LODO,PNT_LOSS_AUC,0.232793522267,,,,0,,,28
FROZEN_STAGE1_18,rank_d1_low_ma10_pct,LODO,T7_PNT_AUC,0.504576659039,0.448051948052,0.504576659039,0.534722222222,0.678571428571,,,28
FROZEN_STAGE1_18,rank_d1_low_ma10_pct,PERMUTATION,ABS_RAW_T7_PNT_AUC_DISTANCE,0.0045766590389,,,,,0.942102894855,1,20000
FROZEN_STAGE1_18,rank_days_since_d0,BOOTSTRAP,NONLOSS_SPEARMAN,0.257441702198,-0.153663572173,0.241837808921,0.493140724321,0.89795,,,20000
FROZEN_STAGE1_18,rank_days_since_d0,BOOTSTRAP,PNT_LOSS_AUC,0.404858299595,0.227272727273,0.407723002994,0.605555555556,0.15755,,,20000
FROZEN_STAGE1_18,rank_days_since_d0,BOOTSTRAP,T7_LOSS_AUC,0.603678929766,0.384255050505,0.605769230769,0.782608695652,0.8414,,,20000
