date,code,market,open,high,low,close,volume,amount,pct_chg,change,amplitude,turnover_rate,source,prev_close,ma5,amount_ma5,ma10,amount_ma10,ma20,amount_ma20,ma30,amount_ma30,close_position,amplitude_calc,amount_ratio,ma5_distance,ma10_distance,ma20_distance,vwap_daily
2026-05-15,000034,SZ,41.4,41.68,40.24,40.72,376144.0,1531194878.5245001,-0.44009779951100175,-0.17999999999999972,3.520782396088014,,tencent_daily,40.9,41.774,1984312348.0173202,40.483,1762671621.44668,38.6455,,37.039,,0.3333333333333317,3.520782396088014,0.8686784650607811,-0.02523100493129704,0.005854309216214215,0.053680247376796775,40.70767787136044
2026-05-18,000034,SZ,41.1,42.2,40.31,41.57,380743.0,1585193980.5814,2.0874263261296697,0.8500000000000014,4.641453831041259,,tencent_daily,40.72,41.564,1640862563.2217202,40.896,1822306254.3125901,38.979,,37.312333333333335,,0.6666666666666654,4.641453831041259,0.8698834111060911,0.00014435569242610136,0.016480829420970178,0.06647168988429675,41.634225201288004
2026-05-19,000034,SZ,29.6,31.1,29.24,30.96,708309.0,2150493834.5767,-25.52321385614626,-10.61,4.4743805629059485,,tencent_daily,41.57,39.398,1746685480.4802403,40.225,1949397555.86202,38.73049999999999,,37.20733333333333,,0.9247311827956988,4.4743805629059485,1.1031581670501047,-0.214173308289761,-0.23032939714108147,-0.20062999444881924,30.36095594686359
2026-05-20,000034,SZ,30.96,31.34,29.75,30.19,616368.0,1859220780.243,-2.4870801033591716,-0.7699999999999996,5.1356589147286815,,tencent_daily,30.96,36.868,1781348265.49612,39.301,1957262528.6418502,38.4055,,37.13833333333333,,0.2767295597484285,5.1356589147286815,0.949908738881911,-0.18113268959531303,-0.2318261621841683,-0.2139146736795512,30.16413539059458
2026-05-21,000034,SZ,30.46,30.53,27.97,28.01,668525.0,1942905127.7071,-7.220934084133818,-2.1799999999999997,8.479629016230547,,tencent_daily,30.19,34.29,1813801720.32654,37.962,1896902979.27163,37.929500000000004,,37.00333333333334,,0.01562500000000104,8.479629016230547,1.024251186770308,-0.18314377369495471,-0.26215689373584117,-0.2615246707707721,29.06256501562544
2026-05-22,000034,SZ,28.3,29.25,27.87,29.07,495699.0,1419329398.9416,3.7843627275972818,1.0599999999999987,4.926811852909671,,tencent_daily,28.01,31.96,1791428624.4099603,36.867000000000004,1887870486.2136397,37.5565,,36.905,,0.8695652173913044,4.926811852909671,0.7518150261399777,-0.09042553191489366,-0.2114899503621126,-0.22596621090889724,28.63288808211435
2026-05-25,000034,SZ,29.5,29.8,28.88,29.52,563911.0,1655234408.9484,1.5479876160990689,0.4499999999999993,3.1647746818025513,,tencent_daily,29.07,29.55,1805436710.0833602,35.557,1723149636.6525402,37.1605,,36.753,,0.6956521739130428,3.1647746818025513,0.9605865757334487,-0.0010152284263960087,-0.16978372753606896,-0.2056081053807134,29.352759725353824
2026-05-26,000034,SZ,29.2,29.2,27.43,27.87,656323.0,1843315967.8765,-5.589430894308938,-1.6499999999999986,5.995934959349592,,tencent_daily,29.52,28.932,1744001136.74332,34.165,1745343308.6117797,36.7195,1653161108.849695,36.523666666666664,,0.24858757062146972,5.995934959349592,1.0561337467427232,-0.03670676068021561,-0.18425289038489678,-0.24100273696537255,28.085500094869445
2026-05-27,000034,SZ,27.57,27.83,25.82,25.88,560788.0,1486214112.0391,-7.140294223179053,-1.990000000000002,7.212055974165763,,tencent_daily,27.87,28.07,1669399803.10254,32.469,1725374034.2993302,36.137,1725304179.6355648,36.20933333333333,,0.02985074626865611,7.212055974165763,0.8613866225491492,-0.07801923762023522,-0.20293202747235828,-0.2838365110551513,26.502245269854203
2026-05-28,000034,SZ,26.0,26.51,25.25,26.27,389779.0,1005613556.8145,1.5069551777434333,0.39000000000000057,4.868624420401861,,tencent_daily,25.88,27.722,1481941488.9240198,31.006,1647871604.62528,35.608,1720105955.98721,35.919,,0.8095238095238082,4.868624420401861,0.6102499454398772,-0.05237717336411518,-0.1527446300715991,-0.26224443945180853,25.799582758806913
2026-05-29,000034,SZ,27.5,28.32,25.61,25.84,604563.0,1609416133.5895,-1.6368481157213541,-0.4299999999999997,10.315949752569473,,tencent_daily,26.27,27.076,1519958835.8536,29.518,1655693730.1317801,35.0005,1709182675.7892299,35.602999999999994,,0.08487084870848721,10.315949752569473,0.9720494221243461,-0.04564928349830111,-0.12460193780066398,-0.26172483250239287,26.621148392963182
2026-06-01,000034,SZ,26.39,27.75,26.38,26.59,689659.0,1868113695.4347,2.9024767801857583,0.75,5.301857585139323,,tencent_daily,25.84,26.49,1562534693.15086,28.02,1683985701.61711,34.458,1753145977.96485,35.326,,0.15328467153284722,5.301857585139323,1.109340592168196,0.0037750094375237353,-0.051034975017844375,-0.22833594520865974,27.087498248187874
2026-06-02,000034,SZ,26.7,26.8,25.67,26.05,414456.0,1080323960.1526,-2.0308386611508054,-0.5399999999999991,4.249717939074837,,tencent_daily,26.59,26.125999999999998,1409936291.60608,27.529000000000003,1576968714.1747,33.877,1763183135.0183601,34.99666666666666,,0.3362831858407074,4.249717939074837,0.6850636607067903,-0.0029089795605908852,-0.05372516255585025,-0.23104170971455562,26.06607119097323
2026-06-03,000034,SZ,25.73,26.8,25.35,25.58,490826.0,1274460898.4812,-1.8042226487524085,-0.4700000000000024,5.566218809980803,,tencent_daily,26.05,26.066000000000003,1367585648.8945,27.068,1518492725.9985201,33.1845,1737877627.3201852,34.626333333333335,,0.15862068965517034,5.566218809980803,0.8392933839331688,-0.018644978132433265,-0.05497266144524915,-0.22915819132426285,25.965635448839304
2026-06-04,000034,SZ,25.0,25.35,24.7,24.9,298842.0,741201974.4703,-2.6583268178264263,-0.6799999999999997,2.5410476935105635,,tencent_daily,25.58,25.791999999999994,1314703332.4256601,26.756999999999998,1398322410.67484,32.359500000000004,1647612694.973235,34.205333333333336,,0.3076923076923056,2.5410476935105635,0.5300651472163639,-0.03458436724565739,-0.06940239937212689,-0.23051963102025697,24.802470016607437
2026-06-05,000034,SZ,24.7,25.29,23.99,24.44,370716.0,902185389.1379,-1.847389558232921,-0.4599999999999973,5.220883534136549,,tencent_daily,24.9,25.512,1173257183.5353398,26.294,1346608009.69447,31.5805,1617239247.954055,33.80233333333333,,0.34615384615384814,5.220883534136549,0.6699688273372112,-0.042019441831295024,-0.0705103825967901,-0.2261047165181045,24.336294876344695
